pAD,pAR,UniprotEntry,pDN,pLOF,pGOF
0.82845,0.14696282,Q9NS61,0.4391164183616638,0.5030373334884644,0.5295111536979675
0.66881573,0.30701873,Q9NZI2,0.6252278685569763,0.34913232922554016,0.47056689858436584
0.684981,0.34144643,Q8WWG9,0.5445507168769836,0.4756263792514801,0.44170063734054565
0.8108946,0.1735306,Q8N608,0.40335533022880554,0.5266045331954956,0.5284608006477356
0.76773536,0.22823843,P42658,0.43318748474121094,0.557542085647583,0.5961511731147766
0.82351965,0.17479368,P17612,0.5832382440567017,0.24172060191631317,0.6168514490127563
0.83704424,0.16836411,Q13557,0.5358350872993469,0.35763126611709595,0.5939501523971558
0.8450354,0.14462878,Q13554,0.5236819982528687,0.43398764729499817,0.5396105051040649
0.82201314,0.16472685,P78352,0.5518413186073303,0.5137172937393188,0.3821994364261627
0.63015896,0.3816728,Q6PIL6,0.5274927020072937,0.4912145137786865,0.3975627720355987
0.8528836,0.13248245,Q9UQM7,0.5700473189353943,0.3535153567790985,0.5604716539382935
0.7744389,0.2104322,P62166,0.6036580801010132,0.29034513235092163,0.49338704347610474
0.8330674,0.1569518,Q13555,0.4763409495353699,0.5004114508628845,0.5550023317337036
0.84015465,0.15838799,Q93009,0.4765477478504181,0.5093902349472046,0.4549286663532257
0.8570409,0.13015844,P01106,0.597624659538269,0.5767517685890198,0.310881644487381
0.85316485,0.12455878,P61981,0.589565098285675,0.4206834435462952,0.4148121178150177
0.8559798,0.13148929,P63104,0.5540900230407715,0.41223418712615967,0.5390831232070923
0.7591279,0.2722512,P00533,0.49955758452415466,0.34276893734931946,0.656842827796936
0.7586191,0.25356996,P06213,0.4714423716068268,0.42344850301742554,0.6483638882637024
0.6571726,0.36697733,P22681,0.5657054781913757,0.5207310318946838,0.4316730797290802
0.68029934,0.3474861,P29353,0.44668397307395935,0.6499152183532715,0.382510781288147
0.634693,0.40179822,Q9BX66,0.46141165494918823,0.6323596835136414,0.4079687297344208
0.61886096,0.44388974,P56945,0.4484400451183319,0.6206099390983582,0.3238421678543091
0.59706676,0.41406462,Q8WWN8,0.5004879236221313,0.5091342926025391,0.450896680355072
0.7258318,0.28740394,Q01970,0.509524405002594,0.5159742832183838,0.5111449360847473
0.79112864,0.20284598,P12931,0.5490996837615967,0.4743193984031677,0.5542178153991699
0.85749567,0.13436754,P08047,0.5702930688858032,0.5724450349807739,0.27891457080841064
0.51479703,0.56101125,Q00722,0.5022615194320679,0.5192246437072754,0.491513729095459
0.8458928,0.15068339,Q02447,0.6113098859786987,0.5760616064071655,0.28928297758102417
0.53363705,0.50905156,P16885,0.5278820395469666,0.4501783847808838,0.4372171759605408
0.6487428,0.41520724,P07333,0.5133710503578186,0.41821110248565674,0.5763987302780151
0.7614722,0.25657097,Q9NQ66,0.477761447429657,0.5168848037719727,0.4924289584159851
0.8028232,0.1755247,Q8IZP0,0.5260274410247803,0.48831304907798767,0.3847196698188782
0.6970266,0.30174366,Q15811,0.4514271914958954,0.4906783103942871,0.5302038192749023
0.6393268,0.39539552,Q15111,0.5558842420578003,0.40324512124061584,0.5592008829116821
0.6913355,0.34183893,Q15147,0.4766187369823456,0.4938014447689056,0.4956934154033661
0.5400016,0.5571594,P31994,0.5557569265365601,0.4288613200187683,0.4645504653453827
0.7075705,0.32257023,P38936,0.5005636215209961,0.5365009307861328,0.34005269408226013
0.7746951,0.2522502,Q05516,0.4743918180465698,0.5415998101234436,0.47830289602279663
0.74741143,0.2374265,P62837,0.5668618679046631,0.3319070041179657,0.4851565361022949
0.77635884,0.22076757,O95983,0.5788055658340454,0.5217953324317932,0.3477253317832947
0.7906629,0.3875637,P04259,0.5276042819023132,0.5551259517669678,0.34451010823249817
0.8510731,0.17447202,Q9P2K3,0.5372865200042725,0.6020521521568298,0.3881590962409973
0.78033996,0.4719056,P02538,0.6143630743026733,0.5231155753135681,0.3320242464542389
0.77546775,0.21082732,P61077,0.5252368450164795,0.35597604513168335,0.46888113021850586
0.8965498,0.10183954,Q969G3,0.6382672190666199,0.5375343561172485,0.3477848768234253
0.86218435,0.10966449,P55081,0.6161407232284546,0.4217836856842041,0.398493617773056
0.6981302,0.3512913,Q63HK5,0.5292306542396545,0.6188525557518005,0.3418208062648773
0.7421612,0.51028734,P48668,0.6177300810813904,0.4394198656082154,0.3032054603099823
0.7319179,0.23816441,Q9Y333,0.6289011836051941,0.40690645575523376,0.2860427796840668
0.80149025,0.20645735,P0DP25,0.6661586165428162,0.3529314696788788,0.32788294553756714
0.52832085,0.4606448,Q14241,0.5723820924758911,0.567638635635376,0.33599919080734253
0.5140129,0.4984578,P25791,0.6117660999298096,0.4358306229114533,0.34711983799934387
0.50868183,0.52703893,Q96GY3,0.5618849396705627,0.5305187702178955,0.3168671429157257
0.65976846,0.41255528,Q8NFM4,0.5757728219032288,0.27253493666648865,0.6853830814361572
0.6870097,0.32958165,Q9UIA0,0.6143362522125244,0.26308688521385193,0.5981606245040894
0.511158,0.494118,O60573,0.5457693934440613,0.4010408222675323,0.4883420467376709
0.7767041,0.23175308,P54725,0.5539946556091309,0.5714495778083801,0.34225380420684814
0.51373523,0.511777,Q92569,0.6157833337783813,0.4344204366207123,0.4497782289981842
0.7514109,0.2702434,O60341,0.4671252965927124,0.5313851833343506,0.5087674856185913
0.5954558,0.44452292,P52292,0.3987802565097809,0.5010644793510437,0.5104562044143677
0.508336,0.5009046,Q9BXJ5,0.5945085883140564,0.4670924246311188,0.319256454706192
0.56682044,0.46481416,Q92556,0.5059881210327148,0.4759689271450043,0.37937650084495544
0.83118767,0.13750646,Q9HAF1,0.49511951208114624,0.5092381238937378,0.40367254614830017
0.77402246,0.20419393,Q96GG9,0.5309821367263794,0.37730494141578674,0.4068466722965241
0.8596831,0.11041168,Q96FV9,0.48422113060951233,0.4470948278903961,0.47325599193573
0.8548896,0.14461806,Q7L4I2,0.5201221704483032,0.6139025092124939,0.29135164618492126
0.84605694,0.13664603,Q9NXR8,0.559805691242218,0.5149726271629333,0.39819565415382385
0.61186033,0.39505914,P53365,0.6141350269317627,0.4490417242050171,0.41535165905952454
0.7511006,0.22792375,Q8TAP4,0.5872490406036377,0.36272433400154114,0.42162683606147766
0.68736476,0.33521754,Q16543,0.5554983019828796,0.439066082239151,0.4423633217811585
0.62520003,0.37443092,P25800,0.5983599424362183,0.3613382577896118,0.4202795624732971
0.7792573,0.232877,P61968,0.5878449082374573,0.44490543007850647,0.4045882523059845
0.75245607,0.30039364,P09067,0.602882444858551,0.628147304058075,0.32105201482772827
0.85478896,0.14154965,P78347,0.5334345102310181,0.4757620692253113,0.5187185406684875
0.6902382,0.3282943,P25786,0.5570746660232544,0.39591628313064575,0.5012838244438171
0.82537603,0.15829487,P67870,0.402558296918869,0.41148310899734497,0.45906245708465576
0.85418886,0.10794430000000001,P26196,0.5589345097541809,0.3758780062198639,0.4950578212738037
0.81296045,0.16409718,Q9HC52,0.563010036945343,0.5993891358375549,0.3533005118370056
0.5978918,0.38990247,Q99633,0.5341308116912842,0.4647432267665863,0.4319823384284973
0.519238,0.5109943,Q6UB99,0.3375445604324341,0.6935691833496094,0.40931275486946106
0.8742932,0.12257136,Q96GM5,0.5153010487556458,0.5207850933074951,0.43742311000823975
0.83517873,0.16495462,Q06455,0.479204386472702,0.4848732650279999,0.4031433165073395
0.8195017,0.16858493,P78317,0.5107066035270691,0.5783871412277222,0.33725178241729736
0.6539074,0.35312515,P51668,0.52853924036026,0.4080771207809448,0.4871889352798462
0.6765968,0.34548268,Q99816,0.5213114619255066,0.44697028398513794,0.5302931666374207
0.7497891,0.2788938,Q9P2W3,0.5269996523857117,0.3580077588558197,0.4250564873218536
0.82155734,0.19632114,Q15911,0.5659264922142029,0.605952799320221,0.4103527367115021
0.6816865,0.319704,Q92529,0.46763741970062256,0.5427604913711548,0.39552122354507446
0.53020245,0.48101857,Q9H8E8,0.5558313131332397,0.5240641832351685,0.4360074996948242
0.63520795,0.43381718,Q8IY22,0.539795458316803,0.4723765254020691,0.4173544049263001
0.7888404,0.30368838,P04264,0.6273705959320068,0.4259801506996155,0.3736981451511383
0.5680409,0.5572233,Q8N1N4,0.6414316296577454,0.5199231505393982,0.23902371525764465
0.7997035,0.20964384,O14647,0.4207189679145813,0.5739671587944031,0.5298852324485779
0.5256975,0.5595531,Q01546,0.6221112608909607,0.4739266037940979,0.2650776207447052
0.64425325,0.5456564,Q5XKE5,0.6688200831413269,0.4520880579948426,0.34393635392189026
0.5669286,0.3984832,Q8IX29,0.5218371152877808,0.5198319554328918,0.3975101709365845
0.5876272,0.4188119,P63208,0.4792549312114715,0.5284023284912109,0.45728909969329834
0.53805256,0.59424865,P20929,0.589022696018219,0.6133515238761902,0.36930936574935913
0.74913130000000006,0.2919238,P50552,0.541799783706665,0.5399171113967896,0.32270753383636475
0.83827084,0.19708629,P68133,0.5917999744415283,0.29862526059150696,0.5611056685447693
0.51833254,0.5095061,Q7Z6J0,0.5096122026443481,0.6564232110977173,0.33933302760124207
0.760042,0.2243056,P48634,0.4503843188285827,0.6714792847633362,0.3008089065551758
0.84272,0.15242867,P35222,0.42336156964302063,0.44760555028915405,0.5235364437103271
0.71899664,0.29418638,P30304,0.5696723461151123,0.4972629845142365,0.43291571736335754
0.8076918,0.19934721,Q00610,0.4663499593734741,0.5589752197265625,0.3517378270626068
0.72347206,0.3073502,P35968,0.5174697041511536,0.28573521971702576,0.7533787488937378
0.7660274,0.23957475,P35568,0.4694046378135681,0.5914604067802429,0.34855398535728455
0.8365105,0.14605504,P62258,0.5054999589920044,0.4262936413288117,0.6012599468231201
0.83223695,0.17000371,P19838,0.45573705434799194,0.5144794583320618,0.4316082298755646
0.8005534,0.19967131,P46821,0.4675186276435852,0.5813740491867065,0.4276276826858521
0.8306185,0.16759759,Q04206,0.506281852722168,0.5722916722297668,0.3531853258609772
0.8786931,0.10683527,Q15910,0.4881928563117981,0.4315400719642639,0.5829377174377441
0.74629426,0.3020423,Q16236,0.498546302318573,0.5723575353622437,0.4561346471309662
0.85401,0.14148436,P46937,0.5240596532821655,0.592635989189148,0.392210990190506
0.5954421,0.4590391,O43521,0.5649790167808533,0.5433022975921631,0.38007593154907227
0.5151187,0.52591467,O75410,0.446161687374115,0.5463165044784546,0.3369846045970917
0.80006427,0.18889706,Q13616,0.5383092164993286,0.4911995828151703,0.3952637016773224
0.80133027,0.21663153,Q07820,0.5904574394226074,0.4521157443523407,0.3894070088863373
0.5707395,0.46752727,P18848,0.5497640371322632,0.4914015531539917,0.35552409291267395
0.7636643,0.23799387,O15534,0.4769126772880554,0.6932262778282166,0.34940072894096375
0.6097012,0.45232296,Q6P0Q8,0.5063192248344421,0.49528321623802185,0.5033889412879944
0.8524448,0.11432504,Q6ZN18,0.5320224761962891,0.5452044010162354,0.365367591381073
0.8669479,0.09309294,Q5VWX1,0.5511839985847473,0.5816258192062378,0.2781898081302643
0.53563213,0.48609298,Q9C026,0.5587406754493713,0.5052318572998047,0.3385348618030548
0.90212107,0.06723288,Q12906,0.5283691883087158,0.5464773178100586,0.3576977849006653
0.8230961,0.18894112,P25963,0.495297908782959,0.5207909345626831,0.46494776010513306
0.84997094,0.14015691,P61244,0.6190028786659241,0.5347267985343933,0.2942492365837097
0.5666263,0.455517,Q9Y297,0.5122345685958862,0.4973541498184204,0.3937685787677765
0.66103053,0.36340392,P50539,0.5514838099479675,0.4962821900844574,0.3629375100135803
0.84370434,0.1082057,A5YKK6,0.4544278383255005,0.4865148663520813,0.5682329535484314
0.71651596,0.29233325,Q53EL6,0.4666491448879242,0.6096764206886292,0.35646480321884155
0.7441249,0.25102034,P62877,0.5277602076530457,0.5363840460777283,0.3772187829017639
0.7980866,0.18942493,Q15843,0.8094408512115479,0.2934833765029907,0.27240145206451416
0.85717094,0.13421462,Q00653,0.3818129301071167,0.5508861541748047,0.5587247014045715
0.5828376,0.41777667,Q92538,0.5720515847206116,0.5358096957206726,0.4073816537857056
0.8030771,0.1957426,P25054,0.5510967969894409,0.6459007859230042,0.3703460693359375
0.81961125,0.21346395,P35221,0.4545716941356659,0.5780888795852661,0.4651969373226166
0.7494909,0.23837571,O15169,0.5352535843849182,0.5044931173324585,0.4638895690441131
0.774388,0.20576668,Q9Y4X5,0.5453645586967468,0.42248597741127014,0.44718077778816223
0.68425304,0.34540322,Q9Y266,0.6093629002571106,0.4600512683391571,0.3549336791038513
0.77056396,0.26872686,P16471,0.4480023682117462,0.4364021122455597,0.6652349829673767
0.8985184,0.07324477,Q00839,0.4764696955680847,0.5279740691184998,0.4576391577720642
0.9164141,0.05588358,P22626,0.6407140493392944,0.5213891863822937,0.2854810059070587
0.55656546,0.48219535,P30305,0.5160137414932251,0.6567607522010803,0.3190140426158905
0.7916789,0.21196406,P30291,0.4627249836921692,0.5353121757507324,0.518058717250824
0.5692783,0.42093423,Q13043,0.5341112613677979,0.4142579436302185,0.5877092480659485
0.9169805,0.059677873,Q14103,0.442569375038147,0.6551745533943176,0.3734848499298096
0.60963756,0.44344822,P57078,0.499517560005188,0.4383342564105987,0.5659738779067993
0.79100955,0.21484359,P15822,0.5115526914596558,0.7011073231697083,0.3745910823345184
0.8516517,0.1621008,P31629,0.48245349526405334,0.6427280902862549,0.3608075976371765
0.8107991,0.26291782,Q9HD67,0.4988994896411896,0.5101845264434814,0.5057336688041687
0.63815475,0.39156756,O43847,0.5517297983169556,0.4513765871524811,0.40723860263824463
0.8673234,0.12497911,Q01664,0.5895188450813293,0.4358341097831726,0.46027350425720215
0.82520556,0.19418952,Q86T82,0.4671749174594879,0.6058951020240784,0.3968677818775177
0.56865084,0.47757703,Q96K76,0.499146431684494,0.5356389880180359,0.3907375931739807
0.52576333,0.49798742,Q9UNN5,0.5557923316955566,0.5139568448066711,0.37581396102905273
0.5341463,0.5156256,O00418,0.39178821444511414,0.5021405816078186,0.6256937384605408
0.88641566,0.10742819,Q13127,0.3966507613658905,0.6559203863143921,0.3776275217533112
0.8079659,0.1667332,O43166,0.5295119881629944,0.6376577019691467,0.3389144837856293
0.7737112,0.21729727,O60285,0.5588634610176086,0.44548845291137695,0.5229272246360779
0.66501564,0.3177201,Q9H093,0.49384206533432007,0.47014009952545166,0.5897306203842163
0.6740721,0.32354867,P49427,0.5206189155578613,0.47871285676956177,0.3908812999725342
0.7832641,0.2259528,O14503,0.5386062860488892,0.5638857483863831,0.352791428565979
0.65233845,0.38456914,O60343,0.49571335315704346,0.5286972522735596,0.5102375745773315
0.8398806,0.12135254,Q9Y4G8,0.49222201108932495,0.4954349100589752,0.5137529373168945
0.68722355,0.3060047,Q5SWA1,0.6250391602516174,0.5211136937141418,0.4081384837627411
0.8068321,0.13462332,Q6ZNC4,0.637852132320404,0.5213252305984497,0.30816030502319336
0.86945033,0.11186498,Q15022,0.4309532642364502,0.5686841011047363,0.5405229926109314
0.60197115,0.40916035,Q8TF40,0.490323543548584,0.4082475900650024,0.49660900235176086
0.6935671,0.29554832,Q9H8N7,0.5777822136878967,0.588746190071106,0.3052220046520233
0.8034624,0.23504628,P32314,0.6553030610084534,0.5542023777961731,0.2560634911060333
0.8066163,0.20893812,Q5VU97,0.5463137626647949,0.4347012042999267,0.5179758071899414
0.86861223,0.1071327,Q5BKZ1,0.4901064932346344,0.5936052203178406,0.3690548539161682
0.9219973,0.059589896,Q9NZB2,0.4742012023925781,0.6083083748817444,0.45880043506622314
0.93126255,0.041682456,Q13151,0.5151335000991821,0.5956767201423645,0.33376345038414
0.92011327,0.050487854,P51991,0.5845410227775574,0.5674605369567871,0.3000640571117401
0.9331112,0.04053693,P31942,0.601495087146759,0.4996849000453949,0.3154895007610321
0.9477927,0.028334731,Q1KMD3,0.410246342420578,0.5529448390007019,0.5126675963401794
0.92292184,0.046205696,O14979,0.4014023840427398,0.6929070353507996,0.4038403332233429
0.807346,0.1848253,Q712K3,0.4673840999603271,0.5287854075431824,0.4069232940673828
0.9366708,0.040056672,Q96KR1,0.4966803789138794,0.4900509715080261,0.4738247096538544
0.8710907,0.20861687,O95409,0.5514408946037292,0.5619937181472778,0.3621029853820801
0.7933962,0.18414707,Q9HCE1,0.5147624015808105,0.5096462965011597,0.5068029761314392
0.8757096,0.12514205,Q9Y2X9,0.5203290581703186,0.6289629936218262,0.32311707735061646
0.55134827,0.45294032,Q3KP66,0.5774099826812744,0.5962830781936646,0.3346405625343323
0.78411907,0.21192102,O00743,0.5049889087677002,0.4449854791164398,0.4737369418144226
0.53356284,0.5200223,O14920,0.508235514163971,0.47340527176856995,0.5491372346878052
0.5210853,0.52476543,Q14164,0.5550761222839355,0.39183950424194336,0.5588064789772034
0.68283105,0.35805398,O15111,0.5325632095336914,0.38289812207221985,0.5234168767929077
0.64219767,0.39784533,O00221,0.47982117533683777,0.6357195377349854,0.4199164807796478
0.841842,0.15075849,Q00987,0.4705931842327118,0.6000434160232544,0.35159140825271606
0.58284014,0.45041403,Q9UJF2,0.4858397245407105,0.5537416338920593,0.3538440465927124
0.7011086,0.29953575,Q8IWZ3,0.39021870493888855,0.5921939015388489,0.5091913938522339
0.826387,0.21680076,P10070,0.5477162003517151,0.6849857568740845,0.27939802408218384
0.79370487,0.19156286,O15084,0.48396947979927063,0.5161417126655579,0.3820935785770416
0.5401185,0.45695332,Q9UGI0,0.4205707311630249,0.5522039532661438,0.4848019778728485
0.64139897,0.42060313,Q13576,0.47508907318115234,0.48873111605644226,0.43736881017684937
0.768725,0.25042644,P29590,0.5192884802818298,0.5766407251358032,0.3758279085159302
0.7332012,0.27362347,P15498,0.4982118904590606,0.41161006689071655,0.5006676316261292
0.83200425,0.17712267,P37840,0.4389396905899048,0.4289872944355011,0.41339483857154846
0.85446244,0.13944426,O75925,0.5367284417152405,0.4889218509197235,0.2815774977207184
0.7395772,0.27015713,P55036,0.5044643878936768,0.5363824367523193,0.3638509213924408
0.7999927,0.19088128,O14974,0.43561163544654846,0.6321903467178345,0.42127323150634766
0.81099904,0.16928202,Q8IUQ4,0.5120603442192078,0.5466644763946533,0.3229633867740631
0.7440964,0.27060822,Q86TG7,0.5450618267059326,0.5402615666389465,0.3708845973014831
0.80539346,0.215254,Q9GZU2,0.4847719967365265,0.6471646428108215,0.4169820547103882
0.5763809,0.51420027,P36957,0.5016022324562073,0.5622591376304626,0.4245205819606781
0.7557875,0.2712141,Q96KS0,0.5170673131942749,0.5857123136520386,0.3219054341316223
0.62581426,0.3967327,Q9GZT9,0.5143460035324097,0.5706628561019897,0.33931079506874084
0.523195,0.5122229,Q9H6Z9,0.551106870174408,0.4215783476829529,0.4832919836044311
0.8622854,0.12607506,Q9H2X6,0.45483553409576416,0.5334718227386475,0.45786526799201965
0.59504056,0.46349722,O94966,0.47692885994911194,0.585811972618103,0.4597903490066528
0.7115186,0.2684477,P51825,0.4741215407848358,0.6287090182304382,0.4054631292819977
0.82912093,0.14453535,P36873,0.45110884308815,0.4224372208118438,0.5205358862876892
0.79049516,0.19989787,Q92630,0.5665332674980164,0.4642139673233032,0.5113989114761353
0.5525096,0.4843514,P35372,0.47434762120246887,0.34311193227767944,0.7457988262176514
0.63600266,0.44383797,Q15942,0.5956013798713684,0.5831104516983032,0.3083510100841522
0.69142634,0.37238723,Q9UGI8,0.4978460371494293,0.4982246160507202,0.41096118092536926
0.8115587,0.19342759,Q16656,0.5329650640487671,0.44489994645118713,0.4650970697402954
0.80972904,0.18420452,P54259,0.4581538438796997,0.6912865042686462,0.3633841276168823
0.5588627,0.49330366,Q92667,0.600554347038269,0.4313507676124573,0.5301957130432129
0.52732986,0.47511917,Q16633,0.611616849899292,0.5284728407859802,0.2878561317920685
0.59644383,0.45405206,Q9HB71,0.6695188879966736,0.4145199954509735,0.27009540796279907
0.7285304,0.22415835,P43146,0.48617950081825256,0.5447311997413635,0.49563029408454895
0.7892357,0.16464226,P84077,0.6061804890632629,0.36779287457466125,0.4498938918113709
0.8150977,0.1250679,P60953,0.5769421458244324,0.4149197936058045,0.4677448868751526
0.8628896,0.11819664,P68104,0.5200841426849365,0.4182899594306946,0.5537673234939575
0.8642389,0.12101903,P27348,0.5248567461967468,0.4115814566612244,0.515360951423645
0.84281385,0.19708943,P20700,0.6328521966934204,0.502633273601532,0.34482303261756897
0.7718354,0.24661134,P12956,0.531633198261261,0.5196557641029358,0.4224956929683686
0.85673845,0.16500145,P07737,0.5050114393234253,0.3858788013458252,0.41661226749420166
0.79515225,0.21112803,Q13200,0.43581831455230713,0.5155648589134216,0.6212636232376099
0.8609063,0.12743977,Q13263,0.3995673358440399,0.5580606460571289,0.4821699261665344
