pAD,pAR,UniprotEntry
0.65633833,0.3724309,O14733
0.6796997,0.35860723,Q9UM73
0.7941394,0.22244936,O60271
0.4650587,0.5513867,Q9NYL2
0.63759935,0.37385893,O43556
0.7466287,0.27231532,Q9Y4J8
0.23429091,0.81559426,Q16586
0.4086841,0.6470893,Q14714
0.23519965,0.8097657,Q16585
0.3926347,0.62435687,Q9HBV2
0.52449435,0.5119628,O00501
0.3811174,0.7055001,O15273
0.8241802,0.20168263,P12814
0.8504128,0.16679092,P35609
0.74246085,0.4006344,O75112
0.34638977,0.6891098,Q96T60
0.8092862,0.1739141,Q08209
0.81622326,0.20784554,O43707
0.2792069,0.7435217,Q08AM6
0.39241263,0.59879136,O95429
0.47549853,0.5243122,Q9NZC7
0.37805364,0.6517253,Q13077
0.317038,0.69582886,Q8TAP6
0.28277558,0.7392352,Q9Y3C0
0.37937924,0.6274939,Q99471
0.31739283,0.7211691,Q9NYA3
0.40732273,0.67509675,Q08043
0.43755,0.57433826,Q9ULX6
0.38857755,0.62088203,Q9BRK4
0.50894207,0.5030022,O76011
0.36668727,0.6369319,P36406
0.5362744,0.4474307,P61236
0.5114473,0.52120405,Q969G2
0.27929902,0.7572085,Q8N6Y0
0.48026696,0.60681844,O76013
0.36399025,0.63097686,Q58EX7
0.40378365,0.64646953,P40199
0.49544892,0.53797007,O43186
0.25220323,0.7658545,Q96B26
0.7756212,0.21678016,O00303
0.3008292,0.72006184,Q8ND90
0.34970903,0.6081913,P59991
0.65405107,0.39451608,Q9Y2W7
0.82845,0.14696282,Q9NS61
0.66881573,0.30701873,Q9NZI2
0.684981,0.34144643,Q8WWG9
0.8108946,0.1735306,Q8N608
0.76773536,0.22823843,P42658
0.82351965,0.17479368,P17612
0.83704424,0.16836411,Q13557
0.8450354,0.14462878,Q13554
0.82201314,0.16472685,P78352
0.63015896,0.3816728,Q6PIL6
0.38141423,0.65304834,Q14005
0.8528836,0.13248245,Q9UQM7
0.7744389,0.2104322,P62166
0.8330674,0.1569518,Q13555
0.84015465,0.15838799,Q93009
0.8570409,0.13015844,P01106
0.85316485,0.12455878,P61981
0.8559798,0.13148929,P63104
0.7591279,0.2722512,P00533
0.7586191,0.25356996,P06213
0.6571726,0.36697733,P22681
0.68029934,0.3474861,P29353
0.634693,0.40179822,Q9BX66
0.61886096,0.44388974,P56945
0.290729,0.7520425,Q8IV36
0.59706676,0.41406462,Q8WWN8
0.7258318,0.28740394,Q01970
0.79112864,0.20284598,P12931
0.85749567,0.13436754,P08047
0.51479703,0.56101125,Q00722
0.8458928,0.15068339,Q02447
0.53363705,0.50905156,P16885
0.6487428,0.41520724,P07333
0.3320573,0.7048836,P51178
0.7614722,0.25657097,Q9NQ66
0.8028232,0.1755247,Q8IZP0
0.33699822,0.71041965,Q8N3E9
0.32195458,0.725794,Q86YW0
0.29303083,0.76650435,Q0VAA5
0.38998207,0.66325545,Q9P212
0.31113705,0.7366997,Q96DU7
0.6970266,0.30174366,Q15811
0.2813227,0.7550456,Q8NFU5
0.30412844,0.74568933,Q4KWH8
0.47678068,0.5742748,P23677
0.6393268,0.39539552,Q15111
0.32272783,0.7239578,Q9BRC7
0.38204983,0.6612871,P27987
0.6913355,0.34183893,Q15147
0.36914083,0.63984823,O60504
0.29647714,0.75601,P49441
0.5400016,0.5571594,P31994
0.30466518,0.7449286,O75038
0.7075705,0.32257023,P38936
0.7746951,0.2522502,Q05516
0.38655758,0.6292427,O00560
0.74741143,0.2374265,P62837
0.77635884,0.22076757,O95983
0.29678208,0.7402106,Q13895
0.3368781,0.65983385,Q86UW9
0.34313485,0.66386664,Q8TAU3
0.31867972,0.69764036,Q8TBB1
0.7906629,0.3875637,P04259
0.2810325,0.7322278,Q96HA8
0.29719928,0.73302186,Q9NZD8
0.42064276,0.5862024,P15622
0.28946605,0.7174433,Q9H0I2
0.8510731,0.17447202,Q9P2K3
0.78033996,0.4719056,P02538
0.21376804,0.7538975,Q96H20
0.34350646,0.6655783,Q9UJ41
0.77546775,0.21082732,P61077
0.34872606,0.6634646,Q15560
0.8965498,0.10183954,Q969G3
0.4360478,0.6431338,P14222
0.4415227,0.59155494,Q9ULV0
0.48717484,0.51376027,Q96DC9
0.38661405,0.6658,Q9BVG8
0.86218435,0.10966449,P55081
0.49119434,0.51125336,Q12774
0.33457473,0.6915366,Q7L775
0.3097855,0.7296599,Q15735
0.4783248,0.5373299,Q96IV0
0.23304754,0.7907593,Q9NQT4
0.6981302,0.3512913,Q63HK5
0.30249652,0.7452623,Q8IYE0
0.28503013,0.7375291,Q5W5X9
0.36549807,0.6505245,Q9BWG6
0.3106648,0.70901626,Q96BZ8
0.26466978,0.75187486,Q68D86
0.31871277,0.7109061,Q9BQ89
0.29205987,0.73302335,Q3B820
0.36206472,0.6561621,Q96SQ5
0.474802,0.5918274,O14796
0.32397115,0.703726,Q7Z3I7
0.3938483,0.62716824,Q2TBE0
0.36464813,0.67884845,Q6NYC8
0.2086744,0.83912873,A8MT69
0.7421612,0.51028734,P48668
0.32368866,0.71138656,Q2WGJ6
0.7319179,0.23816441,Q9Y333
0.80149025,0.20645735,P0DP25
0.34116852,0.68550044,Q8N5A5
0.3120862,0.7126471,Q9H5Z6
0.15621838,0.87280285,Q8TES7
0.34337455,0.7359246,P33993
0.2879274,0.73906934,Q9Y2D8
0.52832085,0.4606448,Q14241
0.5140129,0.4984578,P25791
0.31342843,0.7178155,P55040
0.50868183,0.52703893,Q96GY3
0.65976846,0.41255528,Q8NFM4
0.6870097,0.32958165,Q9UIA0
0.3054514,0.6921287,O96015
0.511158,0.494118,O60573
0.24447261,0.73347366,Q9UK41
0.20511019,0.8099371,Q9H741
0.7767041,0.23175308,P54725
0.2807889,0.7545755,Q8IYX8
0.40983889,0.5974011,Q86UP8
0.51373523,0.511777,Q92569
0.7514109,0.2702434,O60341
0.33491138,0.7122163,Q8TAB5
0.32403538,0.7083024,Q07002
0.3362029,0.6884895,Q05D60
0.5954558,0.44452292,P52292
0.43825576,0.61449385,Q9BYV6
0.23971318,0.80285436,Q96CS2
0.508336,0.5009046,Q9BXJ5
0.32602057,0.7148946,Q9NVE4
0.3244308,0.70949155,Q8NA54
0.41863477,0.5420082,Q96IK5
0.23517416,0.78871495,P78560
0.31964883,0.701754,Q9NU19
0.2616807,0.7862135,O95363
0.46899962,0.5739598,Q9Y6H1
0.41574267,0.5948032,Q92882
0.38217112,0.6488214,Q5VVX9
0.56682044,0.46481416,Q92556
0.83118767,0.13750646,Q9HAF1
0.77402246,0.20419393,Q96GG9
0.8596831,0.11041168,Q96FV9
0.8548896,0.14461806,Q7L4I2
0.23861104,0.84422857,Q08426
0.84605694,0.13664603,Q9NXR8
0.27176687,0.7594992,Q8IWP9
0.3170765,0.7255104,Q53TS8
0.27017337,0.7296566,Q96EX3
0.32510954,0.7098171,Q9H257
0.61186033,0.39505914,P53365
0.39508718,0.60778517,Q86V42
0.24967004,0.79072136,Q5TAP6
0.47490478,0.53642565,Q9Y4C2
0.7511006,0.22792375,Q8TAP4
0.30233362,0.7194139,Q9HAQ2
0.68736476,0.33521754,Q16543
0.29221198,0.7490738,O95995
0.62520003,0.37443092,P25800
0.36961827,0.65553963,Q86YD7
0.30043492,0.7421866,Q8TD31
0.7792573,0.232877,P61968
0.31717762,0.6949229,P0CG20
0.4762444,0.58733296,Q9UI47
0.39889672,0.62416935,O14964
0.75245607,0.30039364,P09067
0.35752374,0.667834,Q9UPT5
0.349046,0.6919017,Q9UDX3
0.42030886,0.64913297,Q9HBI0
0.28771988,0.74662524,Q9UJX0
0.34146315,0.71775615,Q8N7C3
0.3397572,0.6843601,Q63ZY3
0.26105154,0.7587785,Q9Y2B5
0.36424857,0.6492223,Q9NRD5
0.26430738,0.7302324,Q96N21
0.85478896,0.14154965,P78347
0.48622283,0.5418604,Q9Y247
0.6902382,0.3282943,P25786
0.82537603,0.15829487,P67870
0.46064425,0.5539761,Q15561
0.19242994,0.8433535,O00444
0.33234647,0.6942461,Q96JP2
0.85418886,0.10794430000000001,P26196
0.36148307,0.6744707,Q9HC98
0.41264147,0.6255092,O60941
0.81296045,0.16409718,Q9HC52
0.37370858,0.6013341,Q9BU76
0.5978918,0.38990247,Q99633
0.519238,0.5109943,Q6UB99
0.33265167,0.7048081,O95678
0.34869,0.66947055,O43741
0.30916476,0.72687256,Q8IYI6
0.427064,0.5594952,Q9H6L4
0.24175243,0.7866501,Q96M91
0.8742932,0.12257136,Q96GM5
0.83517873,0.16495462,Q06455
0.16466533,0.85303015,Q9BRQ8
0.8195017,0.16858493,P78317
0.6539074,0.35312515,P51668
0.6765968,0.34548268,Q99816
0.3969507,0.62198085,Q9Y2X8
0.30781674,0.7019617,Q9P2K6
0.3305222,0.71944374,Q9UI95
0.7497891,0.2788938,Q9P2W3
0.16999774,0.8662428,Q6GPH4
0.45541957,0.57630223,Q5JTD0
0.22982307,0.800142,Q8NEH6
0.428742,0.6299703,Q9BT92
0.82155734,0.19632114,Q15911
0.6816865,0.319704,Q92529
0.53020245,0.48101857,Q9H8E8
0.63520795,0.43381718,Q8IY22
0.37173456,0.6891105,Q8N5M4
0.29789853,0.71178687,Q96PN8
0.7888404,0.30368838,P04264
0.5680409,0.5572233,Q8N1N4
0.4812171,0.64393586,P19013
0.7997035,0.20964384,O14647
0.4962083,0.5110306,Q6EKJ0
0.5256975,0.5595531,Q01546
0.64425325,0.5456564,Q5XKE5
0.37582445,0.68777055,P12035
0.30782065,0.71141297,A6NK89
0.5669286,0.3984832,Q8IX29
0.33261222,0.6977968,Q8IYR0
0.5876272,0.4188119,P63208
0.53805256,0.59424865,P20929
0.74913130000000006,0.2919238,P50552
0.35690948,0.71015066,O76041
0.83827084,0.19708629,P68133
0.51833254,0.5095061,Q7Z6J0
0.27179685,0.7882175,Q9P253
0.760042,0.2243056,P48634
0.84272,0.15242867,P35222
0.71899664,0.29418638,P30304
0.8076918,0.19934721,Q00610
0.72347206,0.3073502,P35968
0.7660274,0.23957475,P35568
0.8365105,0.14605504,P62258
0.83223695,0.17000371,P19838
0.8005534,0.19967131,P46821
0.8306185,0.16759759,Q04206
0.8786931,0.10683527,Q15910
0.27268857,0.7702325,Q9NY61
0.74629426,0.3020423,Q16236
0.85401,0.14148436,P46937
0.5954421,0.4590391,O43521
0.5151187,0.52591467,O75410
0.80006427,0.18889706,Q13616
0.80133027,0.21663153,Q07820
0.17022298,0.8619366,Q8TAE8
0.4535288,0.57189435,Q9NS23
0.2620925,0.75373536,Q66K74
0.5707395,0.46752727,P18848
0.7636643,0.23799387,O15534
0.6097012,0.45232296,Q6P0Q8
0.8524448,0.11432504,Q6ZN18
0.8669479,0.09309294,Q5VWX1
0.53563213,0.48609298,Q9C026
0.90212107,0.06723288,Q12906
0.8230961,0.18894112,P25963
0.84997094,0.14015691,P61244
0.5666263,0.455517,Q9Y297
0.66103053,0.36340392,P50539
0.84370434,0.1082057,A5YKK6
0.71651596,0.29233325,Q53EL6
0.3860268,0.67020756,Q9UH99
0.7441249,0.25102034,P62877
0.7980866,0.18942493,Q15843
0.85717094,0.13421462,Q00653
0.5828376,0.41777667,Q92538
0.8030771,0.1957426,P25054
0.81961125,0.21346395,P35221
0.7494909,0.23837571,O15169
0.26925966,0.8137572,Q9HAW4
0.774388,0.20576668,Q9Y4X5
0.68425304,0.34540322,Q9Y266
0.77056396,0.26872686,P16471
0.4522415,0.5709668,Q14185
0.8985184,0.07324477,Q00839
0.9164141,0.05588358,P22626
0.55656546,0.48219535,P30305
0.46059254,0.6261035,P17181
0.7916789,0.21196406,P30291
0.5692783,0.42093423,Q13043
0.19180962,0.845287,P51398
0.9169805,0.059677873,Q14103
0.46632674,0.58046675,P19474
0.60963756,0.44344822,P57078
0.79100955,0.21484359,P15822
0.8516517,0.1621008,P31629
0.8107991,0.26291782,Q9HD67
0.63815475,0.39156756,O43847
0.8673234,0.12497911,Q01664
0.2622298,0.8002426,Q96CW5
0.36943647,0.7122668,O76031
0.82520556,0.19418952,Q86T82
0.56865084,0.47757703,Q96K76
0.38610384,0.62108475,Q8TB45
0.52576333,0.49798742,Q9UNN5
0.5341463,0.5156256,O00418
0.88641566,0.10742819,Q13127
0.8079659,0.1667332,O43166
0.32057783,0.72355616,Q9UKT4
0.20726107,0.85216135,Q8IYD8
0.7737112,0.21729727,O60285
0.66501564,0.3177201,Q9H093
0.6740721,0.32354867,P49427
0.7832641,0.2259528,O14503
0.43997043,0.55951065,Q13188
0.65233845,0.38456914,O60343
0.8398806,0.12135254,Q9Y4G8
0.4864766,0.5317298,Q8NFG4
0.68722355,0.3060047,Q5SWA1
0.8068321,0.13462332,Q6ZNC4
0.29021686,0.80730045,Q92539
0.86945033,0.11186498,Q15022
0.40686637,0.5990915,Q9NQP4
0.39324415,0.57750285,Q5VZ89
0.25371078,0.82734096,Q5T8D3
0.60197115,0.40916035,Q8TF40
0.3344209,0.64762765,Q86WH2
0.6935671,0.29554832,Q9H8N7
0.44230568,0.56951785,Q05BV3
0.8034624,0.23504628,P32314
0.38291207,0.6049826,Q70EL1
0.29837957,0.76287943,Q9UGJ1
0.8066163,0.20893812,Q5VU97
0.4728585,0.5478554,O95155
0.34572035,0.7680834,Q14693
0.86861223,0.1071327,Q5BKZ1
0.3612003,0.7069394,Q6PGQ7
0.9219973,0.059589896,Q9NZB2
0.93126255,0.041682456,Q13151
0.92011327,0.050487854,P51991
0.9331112,0.04053693,P31942
0.9477927,0.028334731,Q1KMD3
0.92292184,0.046205696,O14979
0.11202461,0.91457796,Q9NVS2
0.20185897,0.84362864,Q9Y4C8
0.807346,0.1848253,Q712K3
0.9366708,0.040056672,Q96KR1
0.41701323,0.604538,Q9H3C7
0.8710907,0.20861687,O95409
0.18923353,0.8565927,O75127
0.7933962,0.18414707,Q9HCE1
0.8757096,0.12514205,Q9Y2X9
0.22608285,0.8303947,Q96E29
0.38439107,0.67553127,Q8NEM0
0.55134827,0.45294032,Q3KP66
0.4959092,0.577958,P42704
0.34600538,0.70375,O15446
0.33900625,0.71208227,P23508
0.78411907,0.21192102,O00743
0.23861384,0.7957417,P46199
0.53356284,0.5200223,O14920
0.5210853,0.52476543,Q14164
0.4881274,0.5545531,Q15653
0.46353728,0.56724185,O95602
0.37121463,0.65801066,P52434
0.68283105,0.35805398,O15111
0.64219767,0.39784533,O00221
0.25218982,0.77617997,P0DPB5
0.2547745,0.7738713,P0DPB6
0.2592554,0.779083,Q9GZS1
0.841842,0.15075849,Q00987
0.49988243,0.51200813,Q04864
0.4109772,0.64272064,Q16342
0.58284014,0.45041403,Q9UJF2
0.45776603,0.56147546,Q9NS64
0.7011086,0.29953575,Q8IWZ3
0.826387,0.21680076,P10070
0.2141189,0.79105055,Q9Y4P1
0.79370487,0.19156286,O15084
0.3881536,0.63008624,P62875
0.5401185,0.45695332,Q9UGI0
0.64139897,0.42060313,Q13576
0.2821255,0.75676376,Q9H9Y6
0.768725,0.25042644,P29590
0.4369858,0.5784252,Q13625
0.7332012,0.27362347,P15498
0.83200425,0.17712267,P37840
0.85446244,0.13944426,O75925
0.7395772,0.27015713,P55036
0.7999927,0.19088128,O14974
0.81099904,0.16928202,Q8IUQ4
0.7440964,0.27060822,Q86TG7
0.80539346,0.215254,Q9GZU2
0.5763809,0.51420027,P36957
0.7557875,0.2712141,Q96KS0
0.62581426,0.3967327,Q9GZT9
0.523195,0.5122229,Q9H6Z9
0.49473757,0.543353,Q92995
0.8622854,0.12607506,Q9H2X6
0.3283765,0.7324669,Q9BSI4
0.59504056,0.46349722,O94966
0.7115186,0.2684477,P51825
0.82912093,0.14453535,P36873
0.79049516,0.19989787,Q92630
0.23722771,0.8214293,Q9ULW0
0.3897965,0.6424371,Q96KQ4
0.5525096,0.4843514,P35372
0.42713097,0.7872988,P42330
0.35742643,0.719999,O96017
0.63600266,0.44383797,Q15942
0.69142634,0.37238723,Q9UGI8
0.8115587,0.19342759,Q16656
0.47494546,0.5572044,Q12933
0.80972904,0.18420452,P54259
0.5588627,0.49330366,Q92667
0.52732986,0.47511917,Q16633
0.3406515,0.7318003,Q99708
0.59644383,0.45405206,Q9HB71
0.34077552,0.6945701,O14933
0.7285304,0.22415835,P43146
0.7892357,0.16464226,P84077
0.33159557,0.7515434,P52701
0.8150977,0.1250679,P60953
0.32038933000000003,0.7636739,P10599
0.8628896,0.11819664,P68104
0.8642389,0.12101903,P27348
0.84281385,0.19708943,P20700
0.7718354,0.24661134,P12956
0.42366406,0.64824814,P13010
0.85673845,0.16500145,P07737
0.79515225,0.21112803,Q13200
0.8609063,0.12743977,Q13263
0.91739845,0.053313226,P23246
0.22209768,0.8431416,P41252
0.9239411,0.047184523,P26599
0.8866573,0.11057398,P62826
0.77661407,0.22327957,Q9UMX0
0.8615753,0.13312863,P11142
0.9201621,0.050411228,Q07666
0.9068085,0.06788162,Q15424
0.6161831,0.443294,P07237
0.83646375,0.14384994,P59998
0.84499353,0.13314076,P62136
0.88378066,0.119738184,P60709
0.85575074,0.15928152,P23528
0.8995572,0.06845976,Q16630
0.35872185,0.6671141,Q96HA1
0.65855765,0.37588212,Q14118
0.30008665,0.70291543,O95274
0.57595694,0.45250177,Q15323
0.44226703,0.56842136,Q8NEC5
0.84976196,0.13363308,P48729
0.84403116,0.10513943,P62241
0.8289155,0.21079612,P35579
0.8619535,0.11008149,P18124
0.16148017,0.93019706,Q9HCC0
0.39177263,0.7507627,P49327
0.6123549,0.46404088,Q09666
0.6749197,0.3990307,P04083
0.35541824,0.7476083,Q06830
0.80471706,0.14001115,P18077
0.7937649,0.1436019,P42766
0.43149465,0.69482046,P60174
0.82791454,0.18005769,P07900
0.8626337,0.1444829,P07437
0.7196096,0.36179894,P06576
0.8334713,0.1590661,Q9Y265
0.56913596,0.40805474,P32969
0.60778606,0.37584677,P35268
0.8461672,0.10132492,P05388
0.6663068,0.3149164,P62820
0.8802534,0.13333255,Q13509
0.46421796,0.6143221,P46939
0.82808733,0.16276819,Q9Y230
0.799005,0.16284706,P39023
0.6891128,0.35065663,P34932
0.7282954,0.29373938,P61019
0.28137863,0.7771823,P15531
0.53858066,0.5271317,P04844
0.687811,0.26226497,P62899
0.62091744,0.4665558,P31949
0.88278574,0.15083809,Q13885
0.78774744,0.1978032,P53621
0.4511837,0.5774384,P20618
0.8222327,0.2025631,P49368
0.6667806,0.4203267,Q14697
0.90096706,0.068690345,O60506
0.7433953,0.22432788,P40429
0.6921048,0.28283763,P60866
0.7887325,0.24820976,P14625
0.30439493,0.7112202,O95833
0.849828,0.20478104,Q01518
0.66203797,0.4166691,O75369
0.67663217,0.44751024,Q15149
0.5069292,0.639763,P04075
0.83530414,0.16262212,Q05639
0.8707397,0.0987233,Q04637
0.7310651,0.29949594,P47756
0.6042857,0.50624466,Q9P2E9
0.8390109,0.15155546,P55060
0.8781672,0.1587871,P04406
0.88262624,0.11445796,Q14974
0.64795816,0.44432256,Q9Y4L1
0.38251436,0.66246915,P07814
0.91217613,0.05562545,P61978
0.45845482,0.6698754,Q15084
0.8236025,0.1561125,Q15393
0.74881387,0.2798684,Q562R1
0.6349846,0.4112787,P78527
0.42883983,0.65300536,Q99497
0.8712322,0.12482679000000001,P10809
0.27525857,0.8484148,P40926
0.74235207,0.21251436,Q02878
0.8396897,0.16992947,P18206
0.86559594,0.11862764,Q99880
0.5209726,0.50419563,Q9BQG0
0.8935967,0.08267143,P17844
0.8795964,0.114732586,Q14204
0.82397956000000006,0.16142985,P55072
0.81942993,0.19771469,P46940
0.91713154,0.074637905,P62937
0.8852119,0.086131655,Q08211
0.2518427,0.84677786,P29401
0.71094215,0.36444834,P07355
0.26761436,0.8161832,P11216
0.88012725,0.09136949,Q6P2Q9
0.8248616,0.16461511,P0CG48
0.86939895,0.10587816,P60842
0.7841455,0.16495767,P36578
0.86349314,0.16835408,P68371
0.8051468,0.14958133,P62081
0.24633132,0.8805301,P40939
0.8135052,0.13203529,P83731
0.62638694,0.44983,Q92598
0.59180105,0.48598114,P15311
0.84874016,0.12097673,P62314
0.6095011,0.37752947,Q9BRT6
0.302972,0.78441054,P23526
0.8094497,0.17849883,Q96AG4
0.26120174,0.8537973,P54886
0.70219845,0.390689,P30101
0.5319768,0.5133999,P40227
0.6099644,0.57398957,P50454
0.4365882,0.6880312,Q15181
0.23933,0.85288626,P06744
0.87663645,0.094592825,O75643
0.29691654,0.8191632,P30041
0.23015837,0.8683238,P11586
0.32103673,0.799248,Q9NYU2
0.6611047,0.32154676,P50395
0.83028626,0.16237973,P26641
0.888613,0.086589426,P19338
0.2674732,0.83183396,P32119
0.8110828,0.17385207,Q7KZF4
0.9019812,0.06796662,Q92841
0.9158151,0.057262685,P43243
0.57657224,0.46718585,P50991
0.49815586,0.5613716,P37802
0.822812,0.14121279,P62263
0.76900977,0.15350139,P62851
0.8176801,0.17435801,P55884
0.5685206,0.42303786,O60841
0.7109058,0.25118208,Q92499
0.23024288,0.8254358,P30085
0.7001477,0.25101957,P62280
0.6804762,0.2940393,P62906
0.69036436,0.3594182,P55786
0.43663526,0.81134486,P52895
0.35821402,0.7328155,Q9H9B4
0.9147714,0.057870664,P35637
0.8128529,0.22001678,P16615
0.29184687,0.811466,P18669
0.6669633,0.36824766,Q99832
0.6368933,0.3372135,P18621
0.7745861,0.30413604,Q00341
0.32955834,0.78825086,Q13011
0.73120874,0.24570334,P51148
0.87735105,0.1545572,P35580
0.8501905,0.14386404,P10412
0.24117373,0.83374554,P22102
0.60615987,0.36791074,P62829
0.2770022,0.8522857,P07954
0.8066246,0.16232653,Q96F07
0.840506,0.14602804,O15144
0.4794471,0.59178126,P34931
0.82015383,0.13624665,P62273
0.20161079,0.88986737,P13804
0.8329946,0.18478936,P51149
0.7813531,0.18275565,P42677
0.76708496,0.2434831,P53355
0.4867686,0.6165221,P09382
0.83812904,0.13758095,P46783
0.7678812,0.22373499,P18085
0.82178813,0.12729405,P15880
0.6909196,0.3194175,P16403
0.62174720000000006,0.34163633,P47914
0.20983456,0.91149116,P24752
0.9104628,0.05828322,Q01844
0.44478077,0.69019365,O95670
0.84158933,0.20650081,Q9BUF5
0.1771399,0.7707466,Q6ZVF9
0.23046766,0.88755065,Q9Y2Z9
0.2662584,0.8408396,O75891
0.87918663,0.1120076,P17096
0.2432575,0.80341357,Q08J23
0.7714975,0.21708217,Q9NRR5
0.705207,0.3200834,Q14194
0.8981538,0.10702479,Q9NPI1
0.4467481,0.58614016,Q9Y3C7
0.3094898,0.80400026,Q02817
0.7856898,0.27501914,Q01995
0.3314353,0.80398935,P12104
0.29737592,0.7254853,Q9GZT6
0.7669424,0.22602476,Q14119
0.82275593,0.16663405,Q7Z3K3
0.83237064,0.11427891,Q9NWB1
0.8389141,0.14621255,Q08117
0.26820916,0.76149446,A4D2B0
0.35889536,0.6831983,O43765
0.44559535,0.5839452,Q7Z3B4
0.43974808,0.60848844,Q9UIG4
0.4408712,0.62103605,Q96EQ0
0.41835937,0.57487994,Q7Z6R9
0.37704527,0.7473909,P43080
0.15430318,0.8917898,O95178
0.3300307,0.73009706,Q9H2F3
0.57849306,0.59749997,O95741
0.38429627,0.63634425,Q8TEB1
0.49589762,0.55050504,P08631
0.3480803,0.6638401,O75716
0.8429555,0.15384525,P16220
0.5546301,0.6820654,P01024
0.48543966,0.63029236,P34810
0.37257057,0.6935989,Q9UBH0
0.36776643999999997,0.6712349,Q9Y2K6
0.38690713,0.6215124,Q5T7W7
0.7912972,0.18953563,Q6P1L5
0.20124531,0.79114383,P82980
0.43202657,0.6121272,Q9BVL2
0.7178811,0.30371848,Q9NP66
0.3199789,0.7237359,O15182
0.6857425,0.35817564,O75056
0.4039057,0.6487828,P49069
0.829266,0.18357366,Q96L73
0.27541256,0.77865404,Q6BCY4
0.32001978,0.75839823,P11844
0.36029944,0.64608437,Q8NE01
0.845935,0.12138224,Q8NDX5
0.56494164,0.5178819,P28906
0.41427764,0.5447218,O15116
0.22859517,0.8362252,P12268
0.2610332,0.7170553,A6NNX1
0.23297448,0.78161585,Q9UH17
0.37535992,0.694658,O43681
0.4486618,0.6746355,Q12797
0.26821426,0.68378234,Q96HQ2
0.2487491,0.8052589,O75575
0.33052945,0.7156034,Q9NZH5
0.17744924,0.79538274,Q96FH0
0.3581354,0.73337466,P49736
0.39383152,0.6162275,Q9NWT6
0.7252596,0.31047368,P25445
0.8223964,0.17343564,Q16659
0.82067096,0.20047921,Q9H254
0.85728663,0.12414009,Q15796
0.8103177,0.179656,Q13009
0.7087712,0.2916236,P46109
0.35982648,0.69899863,Q13158
0.85838443,0.13230449,P84022
0.86022633,0.15390912,Q07699
0.73447037,0.30998653,Q12860
0.8654486,0.16177201,Q99250
0.8114146,0.18739893,P48547
0.35965124,0.6746813,Q9UJC3
